model_id;model;make_id;make
15672;Caravans-Wohnm;16304;Pilote
15672;Caravans-Wohnm;16305;Rapido
15672;Caravans-Wohnm;16306;Reimo
15672;Caravans-Wohnm;16307;Reisemobile Beier
15672;Caravans-Wohnm;16308;Renault
15672;Caravans-Wohnm;16309;Rimor
15672;Caravans-Wohnm;16310;Riva
15672;Caravans-Wohnm;16311;Riviera
15672;Caravans-Wohnm;16312;RMB
15672;Caravans-Wohnm;16313;Roadtrek
15672;Caravans-Wohnm;16314;Rockwood
15672;Caravans-Wohnm;16315;Selbstbau
15672;Caravans-Wohnm;16316;TEC
15672;Caravans-Wohnm;16317;Tischer
15672;Caravans-Wohnm;16318;Triple E
15672;Caravans-Wohnm;16319;Vario
15672;Caravans-Wohnm;16320;VW
15672;Caravans-Wohnm;16321;Weinsberg
15672;Caravans-Wohnm;16322;Westfalia
15672;Caravans-Wohnm;16323;Wilk
15672;Caravans-Wohnm;16324;Winnebago
15672;Caravans-Wohnm;16325;Others
15672;Caravans-Wohnm;16410;Nordstar
15672;Caravans-Wohnm;16571;EVM
15672;Caravans-Wohnm;16594;Eifelland
15672;Caravans-Wohnm;16595;Burow-Mobil
15672;Caravans-Wohnm;16615;McLouis
15672;Caravans-Wohnm;16630;Ahorn
15672;Caravans-Wohnm;16631;Due Erre
15672;Caravans-Wohnm;16632;Miller
15672;Caravans-Wohnm;18265;Dehler
15672;Caravans-Wohnm;18351;Autostar
15672;Caravans-Wohnm;18352;Bavaria
15672;Caravans-Wohnm;18354;Peugeot
15672;Caravans-Wohnm;18357;Ultra
15672;Caravans-Wohnm;18369;Man
15672;Caravans-Wohnm;18419;Weippert
15672;Caravans-Wohnm;18466;Beisl
15672;Caravans-Wohnm;18841;Tabbert
15672;Caravans-Wohnm;18845;Airstream
15672;Caravans-Wohnm;18846;Bawemo
15672;Caravans-Wohnm;18847;Benimar
15672;Caravans-Wohnm;18848;Caravelair
15672;Caravans-Wohnm;18849;Challenger
15672;Caravans-Wohnm;18850;Delta
15672;Caravans-Wohnm;18851;Gigant
15672;Caravans-Wohnm;18852;Giottiline
15672;Caravans-Wohnm;18853;Globecar
15672;Caravans-Wohnm;18854;Home-Car
15672;Caravans-Wohnm;18855;ICF
15672;Caravans-Wohnm;18856;Iveco
15672;Caravans-Wohnm;18857;Linne-Liner
15672;Caravans-Wohnm;18858;Maesss
15672;Caravans-Wohnm;18859;Moncayo
15672;Caravans-Wohnm;18860;Neotec
15672;Caravans-Wohnm;18861;Niesmann+Bischoff
15672;Caravans-Wohnm;18862;Niewiadow
15672;Caravans-Wohnm;18863;Ormocar
15672;Caravans-Wohnm;18864;Phoenix
15672;Caravans-Wohnm;18865;ProCab
15672;Caravans-Wohnm;18866;Robel-Mobil
15672;Caravans-Wohnm;18867;Sterckeman
15672;Caravans-Wohnm;18868;Swift
15672;Caravans-Wohnm;18869;Trigano
15672;Caravans-Wohnm;18729;Monaco
15672;Caravans-Wohnm;19120;Florence
15672;Caravans-Wohnm;19206;Kentucky
15672;Caravans-Wohnm;19207;Dream
15672;Caravans-Wohnm;19208;Mizar
15672;Caravans-Wohnm;19210;Biod
15672;Caravans-Wohnm;19211;Kip
15672;Caravans-Wohnm;20197;Pössl
15672;Caravans-Wohnm;20199;Carado
15672;Caravans-Wohnm;20220;Morelo
15672;Caravans-Wohnm;75196;MegaMobil
15672;Caravans-Wohnm;75197;Sunlight
16407;Casalini;20850;Kerry
16407;Casalini;20851;M10
16407;Casalini;20852;M110
16407;Casalini;20853;M12
16407;Casalini;20854;M14
16407;Casalini;20855;Pick Up12
16407;Casalini;20856;Sulky
16407;Casalini;20857;Sulkycar
16407;Casalini;20858;Sulkydea/Ydea
16407;Casalini;20859;Other
16407;Casalini;74836;M20
16335;Caterham;20459;Classic 7
16335;Caterham;20460;Classic S7
16335;Caterham;20463;CSR 260
16335;Caterham;20466;Roadsport Seven
16335;Caterham;20458;21
16335;Caterham;20462;CSR 175
16335;Caterham;20465;R300 Superlight
16335;Caterham;20470;Superlight
16335;Caterham;20464;R 400
16335;Caterham;20467;Seven 458
16335;Caterham;20468;SP/300.R
16335;Caterham;20469;Super 7
16335;Caterham;20461;Cosworth CSR 200
16335;Caterham;21047;Others
16401;Changhe;20738;Freedom
16401;Changhe;20739;Mini Truck
16401;Changhe;20740;Ideal
16401;Changhe;20741;CoolCar
16401;Changhe;20742;X5
16401;Changhe;20743;Other
16401;Changhe;75052;A6
16401;Changhe;75053;Q25
16401;Changhe;75054;Q35
16401;Changhe;75055;Q7
16357;Chatenet;18460;Speedino
16357;Chatenet;18461;Media
16357;Chatenet;18462;Barooder
16357;Chatenet;19705;CH 26
16357;Chatenet;20777;Pick-Up
16357;Chatenet;20778;Sporteevo
16357;Chatenet;20779;Stella
16357;Chatenet;20847;CH 28
16357;Chatenet;20848;CH 30
16357;Chatenet;20849;CH 32
16357;Chatenet;21055;Others
16357;Chatenet;74837;CH 40
16384;Chery;19345;A18
16384;Chery;19346;A21
16384;Chery;19347;A3
16384;Chery;19348;Amulet
16384;Chery;19349;B13
16384;Chery;19350;B14
16384;Chery;19351;CrossEastar
16384;Chery;19352;Crossover
16384;Chery;19353;Eastar
16384;Chery;19354;FengYun
16384;Chery;19355;Fora
16384;Chery;19356;Karry
16384;Chery;19357;Kimo
16384;Chery;19358;M14
16384;Chery;19359;Mikado
16384;Chery;19360;MPV
16384;Chery;19361;QQ
16384;Chery;19362;Sweet
16384;Chery;19363;Tiggo
16384;Chery;19364;WOW
16384;Chery;19760;À13
16384;Chery;19761;S18
16384;Chery;19762;M11
16384;Chery;20044;Very
16384;Chery;21063;Others
16384;Chery;75079;Arrizo 5
16384;Chery;75080;eQ
19;Chevrolet;15983;Silverado
19;Chevrolet;16378;S-10
19;Chevrolet;16379;2500
19;Chevrolet;16400;Suburban
19;Chevrolet;16455;Impala
19;Chevrolet;16456;Lumina
19;Chevrolet;16457;Monte Carlo
19;Chevrolet;16599;Trailblazer
19;Chevrolet;18287;El Camino
19;Chevrolet;18367;Avalanche
19;Chevrolet;18420;Chevy Van
19;Chevrolet;1679;Astro
19;Chevrolet;1680;Beretta
19;Chevrolet;1681;Blazer
19;Chevrolet;1683;Camaro
19;Chevrolet;1684;Caprice
19;Chevrolet;1685;Cavalier
19;Chevrolet;1686;Citation
19;Chevrolet;1687;Celebrity
19;Chevrolet;1688;Corsica
19;Chevrolet;1689;Corvette
19;Chevrolet;1690;Malibu
19;Chevrolet;15136;Tahoe
19;Chevrolet;15137;Trans Sport
19;Chevrolet;15648;Alero
19;Chevrolet;15738;Crew cab
19;Chevrolet;15739;G
19;Chevrolet;15772;Dixie van
19;Chevrolet;15801;K1500
19;Chevrolet;15854;K30
19;Chevrolet;18719;Niva
19;Chevrolet;18789;Captiva
19;Chevrolet;18790;Epica
19;Chevrolet;18571;Kalos
19;Chevrolet;18572;Evanda
19;Chevrolet;18574;Nubira
19;Chevrolet;18516;C1500
19;Chevrolet;18673;Tacuma
19;Chevrolet;18685;Aveo
19;Chevrolet;18570;Rezzo
19;Chevrolet;18573;Lacetti
19;Chevrolet;18901;Uplander
19;Chevrolet;18569;Matiz
19;Chevrolet;18654;SSR
19;Chevrolet;19100;HHR
19;Chevrolet;19121;Colorado
19;Chevrolet;19122;Equinox
19;Chevrolet;19172;Cruze
19;Chevrolet;19180;Volt
19;Chevrolet;19203;Express
19;Chevrolet;19221;Spark
19;Chevrolet;19314;Tracker
